frame,timestamp_sec,track_id,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,camera_id,camera_latitude,camera_longitude
1,0.033,1,2,car,0.8427,50,90,95,132,72,111,CAM_01,28.6139,77.209
1,0.033,2,2,car,0.7934,76,86,109,119,92,102,CAM_01,28.6139,77.209
1,0.033,3,2,car,0.7368,146,78,185,115,165,96,CAM_01,28.6139,77.209
1,0.033,4,2,car,0.7056,33,130,78,143,55,136,CAM_01,28.6139,77.209
1,0.033,5,2,car,0.6839,85,67,116,94,100,80,CAM_01,28.6139,77.209
1,0.033,6,2,car,0.6261,136,59,162,81,149,70,CAM_01,28.6139,77.209
1,0.033,7,5,bus,0.4666,139,29,161,54,150,41,CAM_01,28.6139,77.209
1,0.033,8,7,truck,0.452,149,113,220,143,184,128,CAM_01,28.6139,77.209
1,0.033,9,2,car,0.448,0,45,24,65,12,55,CAM_01,28.6139,77.209
1,0.033,10,7,truck,0.3947,160,34,175,51,167,42,CAM_01,28.6139,77.209
1,0.033,11,2,car,0.373,86,55,110,70,98,62,CAM_01,28.6139,77.209
1,0.033,12,2,car,0.3347,150,113,220,143,185,128,CAM_01,28.6139,77.209
2,0.067,1,2,car,0.8384,50,91,95,132,72,111,CAM_01,28.6139,77.209
2,0.067,2,2,car,0.7844,76,87,109,119,92,103,CAM_01,28.6139,77.209
2,0.067,3,2,car,0.7567,146,77,186,116,166,96,CAM_01,28.6139,77.209
2,0.067,4,2,car,0.6983,33,130,78,143,55,136,CAM_01,28.6139,77.209
2,0.067,5,2,car,0.7179,85,67,116,95,100,81,CAM_01,28.6139,77.209
2,0.067,6,2,car,0.6403,136,59,162,81,149,70,CAM_01,28.6139,77.209
2,0.067,7,5,bus,0.4877,139,29,161,54,150,41,CAM_01,28.6139,77.209
2,0.067,8,7,truck,0.383,150,113,220,143,185,128,CAM_01,28.6139,77.209
2,0.067,9,2,car,0.7219,0,45,24,65,12,55,CAM_01,28.6139,77.209
2,0.067,10,7,truck,0.3745,160,34,175,51,167,42,CAM_01,28.6139,77.209
2,0.067,11,2,car,0.4061,86,55,110,70,98,62,CAM_01,28.6139,77.209
2,0.067,12,2,car,0.3589,151,113,220,143,185,128,CAM_01,28.6139,77.209
3,0.1,1,2,car,0.8433,50,91,95,132,72,111,CAM_01,28.6139,77.209
3,0.1,2,2,car,0.8014,76,87,109,120,92,103,CAM_01,28.6139,77.209
3,0.1,3,2,car,0.8259,146,78,186,116,166,97,CAM_01,28.6139,77.209
3,0.1,4,2,car,0.654,33,131,76,143,54,137,CAM_01,28.6139,77.209
3,0.1,5,2,car,0.6883,85,68,116,95,100,81,CAM_01,28.6139,77.209
3,0.1,6,2,car,0.6113,136,59,162,81,149,70,CAM_01,28.6139,77.209
3,0.1,7,5,bus,0.4849,139,29,161,54,150,41,CAM_01,28.6139,77.209
3,0.1,8,7,truck,0.3535,151,113,221,143,186,128,CAM_01,28.6139,77.209
3,0.1,9,2,car,0.7816,0,45,24,65,12,55,CAM_01,28.6139,77.209
3,0.1,11,2,car,0.4645,87,55,109,69,98,62,CAM_01,28.6139,77.209
3,0.1,12,2,car,0.3556,154,115,219,143,186,129,CAM_01,28.6139,77.209
3,0.1,13,2,car,0.3959,18,35,40,58,29,46,CAM_01,28.6139,77.209
3,0.1,14,2,car,0.3476,39,39,53,51,46,45,CAM_01,28.6139,77.209
4,0.133,1,2,car,0.852,50,92,95,133,72,112,CAM_01,28.6139,77.209
4,0.133,2,2,car,0.8532,76,87,108,120,92,103,CAM_01,28.6139,77.209
4,0.133,3,2,car,0.7487,146,78,186,117,166,97,CAM_01,28.6139,77.209
4,0.133,4,2,car,0.5982,34,132,74,143,54,137,CAM_01,28.6139,77.209
4,0.133,5,2,car,0.7396,84,68,115,95,99,81,CAM_01,28.6139,77.209
4,0.133,6,2,car,0.6252,136,59,162,81,149,70,CAM_01,28.6139,77.209
4,0.133,7,5,bus,0.468,139,29,161,54,150,41,CAM_01,28.6139,77.209
4,0.133,8,7,truck,0.3134,153,114,221,143,187,128,CAM_01,28.6139,77.209
4,0.133,9,2,car,0.7974,0,45,24,65,12,55,CAM_01,28.6139,77.209
4,0.133,11,2,car,0.5385,87,55,109,69,98,62,CAM_01,28.6139,77.209
4,0.133,12,2,car,0.456,155,115,220,143,187,129,CAM_01,28.6139,77.209
4,0.133,13,2,car,0.5247,18,36,41,58,29,47,CAM_01,28.6139,77.209
4,0.133,14,2,car,0.4128,39,39,54,51,46,45,CAM_01,28.6139,77.209
4,0.133,10,7,truck,0.3413,160,34,175,51,167,42,CAM_01,28.6139,77.209
5,0.167,1,2,car,0.8352,49,92,95,134,72,113,CAM_01,28.6139,77.209
5,0.167,2,2,car,0.8402,75,88,108,121,91,104,CAM_01,28.6139,77.209
5,0.167,3,2,car,0.7211,146,78,186,117,166,97,CAM_01,28.6139,77.209
5,0.167,4,2,car,0.6133,35,133,72,143,53,138,CAM_01,28.6139,77.209
5,0.167,5,2,car,0.7056,84,68,115,96,99,82,CAM_01,28.6139,77.209
5,0.167,6,2,car,0.5994,136,59,162,82,149,70,CAM_01,28.6139,77.209
5,0.167,7,5,bus,0.4797,139,29,161,54,150,41,CAM_01,28.6139,77.209
5,0.167,8,7,truck,0.3673,153,114,221,143,187,128,CAM_01,28.6139,77.209
5,0.167,9,2,car,0.763,1,45,24,65,12,55,CAM_01,28.6139,77.209
5,0.167,11,2,car,0.5161,87,56,109,68,98,62,CAM_01,28.6139,77.209
