track_id,class_name,first_frame,last_frame,first_x,first_y,last_x,last_y
1,car,1,80,72,111,59,140
2,car,1,94,92,102,77,140
3,car,1,127,165,96,188,139
4,car,1,11,55,136,51,141
5,car,1,175,100,80,69,139
6,car,1,180,149,70,159,112
7,bus,1,179,150,41,161,48
7,truck,39,180,153,42,161,48
8,truck,1,9,184,128,188,129
9,car,1,132,12,55,43,44
10,truck,1,33,167,42,170,42
11,car,1,180,98,62,84,101
12,car,1,29,185,128,192,135
13,car,3,35,29,46,35,45
13,truck,9,69,30,45,41,41
14,car,3,38,46,45,54,43
19,car,15,180,162,85,181,139
20,car,19,20,33,45,33,45
20,truck,16,18,32,45,32,45
21,truck,17,17,151,43,151,43
23,car,21,161,4,60,36,46
23,truck,118,118,25,48,25,48
25,car,23,141,105,61,98,73
27,car,25,45,181,134,188,140
33,truck,37,37,153,42,153,42
34,car,37,67,52,44,56,44
38,bus,59,61,155,43,155,42
38,truck,51,62,154,43,155,42
40,car,58,180,2,62,31,48
41,car,59,69,103,60,102,59
43,car,75,104,167,75,169,80
48,car,96,96,76,140,76,140
51,car,101,116,145,64,146,66
52,bus,110,117,158,43,159,46
52,truck,111,152,158,46,161,46
53,car,110,180,101,74,96,87
54,car,110,180,2,60,18,49
57,car,120,180,106,50,103,54
59,car,123,128,12,49,12,49
63,car,131,132,90,94,89,94
64,car,134,180,165,81,167,90
65,bus,136,136,160,48,160,48
66,car,137,139,98,70,98,73
68,truck,140,140,160,49,160,49
73,car,146,180,97,60,96,67
74,car,149,180,2,64,7,57
78,car,154,180,164,65,166,69
79,car,155,158,97,79,96,75
